gene_id	R1	R2	R3	R4	R5	R6	R7	R8	R9
ENSG00000162444	2	2	10	4	2	0	4	6	2
ENSG00000130939	2428	2526	3026	3853	4506	0	3148	3734	2838
ENSG00000233623	2	2	6	10	2	0	2	6	0
ENSG00000201746	5	0	0	0	3	0	0	0	0
ENSG00000054523	5241	8925	9872	9853	15676	0	10858	15657	10300
ENSG00000199562	3	9	3	9	5	0	14	11	5
ENSG00000264501	0	0	0	0	0	0	0	0	0
ENSG00000142657	3212	5977	7281	7220	5871	0	2026	8364	5806
ENSG00000241563	0	6	6	8	2	0	0	7	6
ENSG00000160049	1122	2208	2610	3753	3440	1	1838	4683	3080
ENSG00000142655	638	783	771	1371	1047	0	404	1084	677
ENSG00000243267	0	0	0	0	0	0	0	0	0
ENSG00000130940	320	128	172	330	270	0	251	193	204
ENSG00000225158	0	0	0	0	0	0	0	0	0
ENSG00000175262	0	0	0	4	0	0	0	0	2
ENSG00000120948	2614	5266	5495	7048	5433	0	2900	7171	4700
ENSG00000009724	59	40	61	83	63	0	58	41	62
ENSG00000116649	4533	11387	12007	15926	11028	0	5666	15545	12243
ENSG00000171824	2070	3440	3927	4937	4360	0	1983	5188	3721
ENSG00000198793	2198	3130	3636	4518	3489	0	2313	5258	3717
ENSG00000225602	4	2	1	6	1	0	0	5	0
ENSG00000171819	3	4	3	1	0	0	0	8	1
ENSG00000207451	0	0	0	0	0	0	0	0	1
ENSG00000120942	1523	3874	3503	4661	3467	0	2478	4848	3213
ENSG00000204624	48	40	51	46	66	0	76	142	162
ENSG00000116661	80	65	55	131	167	0	129	101	65
ENSG00000132879	495	381	345	886	565	0	375	420	272
ENSG00000116663	202	239	384	961	447	0	278	751	787
ENSG00000116670	1226	1922	2238	2999	1955	0	1118	2635	2202
ENSG00000162490	20	0	3	24	20	0	6	12	16
ENSG00000177674	43	60	90	114	42	0	8	51	38
ENSG00000215910	0	0	0	2	2	0	0	2	0
ENSG00000177000	820	476	492	1105	929	0	319	548	376
ENSG00000011021	924	638	808	1435	1451	0	324	886	570
ENSG00000175206	9	0	4	5	10	0	0	11	0
ENSG00000120937	0	0	0	0	0	0	0	3	0
ENSG00000199347	0	2	4	1	6	0	13	33	21
ENSG00000201801	1	0	1	2	3	0	6	3	6
ENSG00000116685	1542	2391	2234	4107	2736	0	1081	3237	2275
ENSG00000083444	634	652	905	1811	1308	0	691	1257	1018
ENSG00000116688	5082	6817	7611	9953	8964	0	5411	11548	8748
ENSG00000116691	1189	1744	2639	3646	3020	0	1224	2521	2116
ENSG00000276869	0	0	0	0	0	0	0	0	0
ENSG00000243539	0	0	0	0	0	0	0	0	0
ENSG00000120949	1181	3220	3647	4652	3240	0	842	2409	2079
ENSG00000201135	0	0	0	0	0	0	0	0	0
ENSG00000227875	0	0	0	0	0	0	0	0	0
